userName,score,at,content
Aufar Zhafran,2,2026-03-30 15:49:21,sistem login ribet dan suka error bukan suka error sih tapi emg error pas mau login email bener password bener masih invalid lagian tutorial cara login lainnya ribet dalem nya bagus cara login nya ribet nyusahin doang rasanya kalian ngerasain hal ini juga nggak?? udh kode verifikasi nya nunggu 24 jam lagi bagi ku akun ke log out atau hilang di discord itu mimpi buruk buat aku jadi jangan sampe hilang ya ges stay safe di discord emg aplikasi nya sering error plus cara caranya ribet buanget
Klaudius Chan,4,2026-03-30 15:45:36,bagaimana cara menambah teman
Nuha Shanum,2,2026-03-30 15:06:59,seharusnya bikin histori untuk server yg telah pernah di join dan dapat join kembali
karsono son,1,2026-03-30 14:36:01,ayolah tambahin fitur kalo bikin nama discord terus email nya kalo sama Ng ush invalid bilang aja nyuru org biar bikin padahall susah ayolah kapan bisa bikin banyak akun discord tapi email-nya sama
DawaAfra XD,1,2026-03-30 14:22:26,discord idiot
Rohma Raya,1,2026-03-30 14:15:19,bug mulu aneh gw mau masuk gk bisa
Zahara Azalia,5,2026-03-30 14:14:34,ok
Mauli Dan,5,2026-03-30 13:43:52,tolong dipermudah password
Maryam mm,1,2026-03-30 13:19:18,hei discord kok pas mau verif phone kok ngk di kasih kodenya
Ardani Saputra,1,2026-03-30 12:56:30,bikin sticker kudu bayar tai
Asri martha Manurung,5,2026-03-30 12:48:25,i use to use whatsapp so glad i change to discord!
Syahla,1,2026-03-30 10:42:45,loginnya ngapa susah
ubad ubad,5,2026-03-30 09:26:59,saya sangat senang karena saya bisa ke discord idola saya
Atha Syarif,5,2026-03-30 08:45:24,sangat bagus saya suka😁
muhammad yusuf,5,2026-03-30 08:01:55,lebih mudah digunakan
dedi edzt,1,2026-03-30 04:20:45,bug mulu monyet
Nanang Kurniawan,4,2026-03-30 03:03:07,"The application is good, I have been using it for 5 years, I ask for help to add Indonesian because many users are from Indonesia."
Rizky ananda Kusuma,4,2026-03-30 02:04:53,lumayan
Muhammad alif Iqbal,1,2026-03-29 22:04:54,susah bet log-in nya jing
Siti Muna Nafisah,1,2026-03-29 17:20:15,BUG TERUSSSS TT KESEL
Destiana Wulandari,2,2026-03-29 15:45:51,KENAPA GUE GABISA DOWNLOAD DC
Orang,1,2026-03-29 14:17:54,login dipersulit
Muhammad Toriqulrohman,5,2026-03-29 12:33:09,bagus work it banget bisa main Naruto mau pun main game lain ya
Sugiarto Arto,5,2026-03-29 12:19:20,aku mau discord bareng ayah
sari Kenzie,5,2026-03-29 12:18:29,grup nya bagus gua kasih bintang 5🙃
Siti Hapsah,5,2026-03-29 11:57:34,its good
Nick 67,2,2026-03-29 11:48:32,"Tolong tambahkan hapus pesan untuk saya saat melakukan dm karena itu bisa menjadi ancaman privasi bagi yang akun atau handphone nya sharing, karena bisa saja melihat percakapan sensitive yang tidak seharusnya dilihat, tolong bagi pihak discord menambahkan fitur hapus untuk saya pada dm untuk selama pengguna maupun bot."
Wana Hana,5,2026-03-29 09:32:53,This app is amaizing for chatting with my friends from other countries!
Rifqy Aunur hafizh,1,2026-03-29 06:42:04,"ni aplikasi Napa dah gua mau resend, di Gmail gak ada tolong perbaiki. dan satu lagi gua baru buat akun gua mau masuk server grup, pas gua udah masuk tiba tiba hilang padahal server satunya lagi bisa loh dan sekarang gua ulang ulang mau masuk server tiba tiba suruh saya resend padahal udah gak bisa buat akun harus invalid, email tiba tiba mau nya kaya gitu girilan gua change email tiba tiba ga bisa emang padahal aku email gua kaya gitu tiba tiba ga bisa di change email mau lu apasi"
Rizky gaming,1,2026-03-29 05:44:50,aplikasi nya jelek bangettt
Bungga Lestari,1,2026-03-29 05:10:41,aku udah hampir 3 jam cuman untuk masuk doang dan itu susah dan kebetulan aku lupa password tapi sama sekali ga di kirimkan kode atau apa gitu
ナ乇イ丂ひの丂ム刀りリ,1,2026-03-29 04:44:23,gila ya dah keluar masuk nya nau zubillahi minzallik ribetnya ketat banget dah kayak bank full gembok
Kenzo alvian Ramadhani,5,2026-03-29 04:11:05,bagus buat ngobrol
Rully Akbar,5,2026-03-29 03:03:01,apk ini bagus buat gendaan
Pendatang Baru,5,2026-03-29 01:52:52,"app paling cocok kalau mau nongkrong, ngobrol, dan kumpul rame-rame. selain itu bisa nyari teman baru yg asik banget. tapi, bolehkah harga netronya dikurangi sedikit 🗿"
Dika eka Pratama mendrofa,5,2026-03-29 00:59:25,bagus
Habib Habib,3,2026-03-28 22:07:55,tambahkan fitur foto sekali lihat
Muhammad yusuf,5,2026-03-28 21:04:23,mantap
Kz Gamer,1,2026-03-28 15:23:08,"di update terbaru,susah login"
Fajar Gumilang,5,2026-03-28 13:40:44,apk bagus
Zalll Banjar,1,2026-03-28 13:09:35,"apk gajelas, gw udh berkali kali verifikasi pke email tetep aja di bilng sandi salah muluu"
Al Za,1,2026-03-28 12:57:03,"Mengapa saya login tidak bisa Teks yang muncul ""Invalid"" kau lupa Teks nya"
Robi,1,2026-03-28 12:33:29,"kok cuma ngirim code verifikasi,cara naro code nya gimana coba,lol"
BW 77,1,2026-03-28 12:27:46,INDONESIA MANA???
misyati non,2,2026-03-28 12:03:13,Pas mau log in kenapa bug ya? jadi ceritanya gini aku kan udah dipertengahan log in tiba tiba pas masukin pasword tiba tiba ngulang sendiri jadi tampilan discord yang awal aku udah berkali kali coba tapi begitu terus aku udah liat tutorial berkali kali tapi ga jadi terus ini kenapa ya?tolong diperbaiki ya kak/bang discord.
Adi Suryanata,5,2026-03-28 12:02:58,nice
Tari Rahmadita,1,2026-03-28 06:41:22,sering bug sendiri voice tiba-tiba ilang terputus sendiri gak bisa masuk discord loadingnya lama
Mas Budi,5,2026-03-28 06:37:31,mantap
Ielma,4,2026-03-28 06:08:00,tolong di perbaiki bug nya seperti vc atau call
Rayhan Za,5,2026-03-28 05:41:54,aplikasi yang sangat bagus
Aldri Anto,1,2026-03-28 05:17:28,"sampah, pas ngecall temen sering ngebug g bisa ngobrol pdhl masi di call. ini bug nya tolong di perbaiki ya? jgn bikin update sampah yg g berguna trs."
Dani Rama,1,2026-03-28 05:09:42,gak guna
Arman Olii,1,2026-03-28 04:55:48,padahal aku udah masukin sandi Gugel nya Udah bener tetap aja gak bisa masuk ke discord
Nasandro Sandro,4,2026-03-28 04:45:19,hmm kmu gak punya bhs indo kak
SOLIHIN TR,4,2026-03-28 02:28:41,saran aku tambah bahasa Indonesia pasti seru
Kenstzyy,5,2026-03-28 01:32:49,gw jadi punya temen
BangDan,5,2026-03-27 23:41:44,"kalo dilihat secara rasional, ini app baik banget. kita bisa bikin server gratis, dengan isi tanpa batas, orang2 VC tanpa batas dan kita gk ngeluarin uang sama sekali. ajak temen2lu buat pakai discord sebelum yg punya jadi kikir, supaya banyak yg support dev nya."
Nurintan Mahadewi13,5,2026-03-27 23:06:07,nice²
Chandra Irawan,5,2026-03-27 19:46:53,cara update aplikasinya gimana
muhammad arif,1,2026-03-27 05:17:25,aku males sama discord karena Laginya susah aku akan kasih bintang satu hahaahahahah game jelek
Azka OG,5,2026-03-27 03:23:29,ini bagus banget 🤩bisa ngobrol dan main bareng tapi saat masukin akun itu error tapi gak papa aplikasi ini tetap bagus
Abdul Hannan,1,2026-03-27 00:07:58,boikot discord
Hafizul,4,2026-03-26 21:47:42,bagus tapi kenapa semua mini game yang ada tidak bisa kumainkan itu semua error dan itu hanya terjadi ke aku saja teman'ku normal semua
Nayra SP2026,5,2026-03-26 04:52:32,bagus nya
Rosalia Indah,4,2026-03-26 03:03:05,"Yg playstorenya gabisa instal xbox untuk mabar minecraft jarak jauh, dscord bisa menjadi pengantinya, dengan cara bergabung ke voice chenel dan menbagikan server kepada teman"""
Rusda Yuanita,3,2026-03-26 01:52:55,"udah ngikutin semua petunjuk, tetep gaada suaranya pas share screen, niatnya mau nobar film malah gaada suaranya"
Misrawi,5,2026-03-25 23:59:20,good
abdul Majid,1,2026-03-25 23:24:46,APLIKASI GAK JELAS SUARA KITA GA KEDENGER ORANG KETIKA HP MATI LAYAR ATAU LGI NONTON BAGIKAN LAYAR .. BARU DOWNLOAD DAH D BIKIN RIBET APLKASI GA REKOMENDASI BINTANG 1
Setan Alas 12 Pas,5,2026-03-25 22:01:28,"sangan Menarik, keren, kedepan tingkatkan lagi, sukses terus ya"
Yutub Premium,1,2026-03-25 20:57:37,"g bisa share screen, g bisa voice aneh bgt bug nya"
Eca Syahputri,1,2026-03-25 20:50:37,tolong di perbaiki anj
INDRA Game,1,2026-03-25 20:33:37,mohon tanggapannya untuk pihak discord diacor saya mengalami bug change audio output nya tidak bisa di ganti ke speaker dan bug tidak bisa screen
Christian,3,2026-03-25 20:27:55,Sering bug join voice kadang suka ga gabisa on mic
Kaihatsu,1,2026-03-25 20:26:38,buggggg voice chat ilang ilangan suara
Tetsu Tatsuhide,3,2026-03-25 20:02:15,"ini Discord w kenapa error, ga bisa join voice, stuck voice, ga bisa ubah ke mode speaker, ga bisa share screen dll"
Derajat Muhamad Ramdan,1,2026-03-25 19:59:25,bug voice
Muhammad naufal ashari,2,2026-03-25 19:56:34,woi kenapa ini dc
pamungkas Dwi,4,2026-03-25 19:49:41,tolong ya discord jangan sering Eror masa ini gak bisa voice loh Padahal sinyal bagus dan Gak ada masalah. udah ku coba hapus data sama aja
Xiuzora,2,2026-03-25 19:49:11,bug suara kocak
Ritsa,3,2026-03-25 19:44:21,"udh update msh ngebug, aplgi wktu join voice dn login uh, bug parah, udh pncet tombol gbs²"
Rafi Ramadhani,1,2026-03-25 19:44:15,"Ada Bug Di Bagian Notifikasi, Jika Memencetnya Akan Crash, Ada Bug Baru Lagi Saya Tidak Bisa Mengganti Soundnya, Harusnya Itu Speaker Bukan Phone Sudah Saya Coba Berkali Kali Tapi Tetap Saja -_-"
Adni ??,2,2026-03-25 19:43:12,lagi voice tp error
ARL PRODUCTION,1,2026-03-25 19:41:27,banyak bug
Tri Mughni Hartani,1,2026-03-25 19:41:12,update apa ini?
Rafly Firmansyah,3,2026-03-25 19:36:04,"perbaiki bug suara, yg sering hilang hilangan"
Babi Kau,1,2026-03-25 19:33:40,"mulai birhuy ni apk, ngebug mulu"
Fadiah Amalia,1,2026-03-25 18:37:33,Captcha nya gak mau berhenti jadi gak bisa bikin akun discord.
Abdul Manap,1,2026-03-25 18:22:32,apk nyah rusak aku mau bikin akun malah ga bisa bisaa
Wafiq Sitorus,1,2026-03-25 18:07:07,"ga bisa login,udh verifikasi bukan robot tapi tetp aja ga bisa login"
Zulmi Ikhwan Khairi,5,2026-03-25 13:14:35,Belum pernah nyobain
IIS WINARNI,1,2026-03-25 11:26:13,"aap si ak daftar ga bisa bisa,pke nomer ga bisa pkr ggl ga bisa, udah verivikasi ga bisa,human aja trus pedahal loh ak udah nurutin tapi ga bisa,apa lagi pas pake nomer ga masuk code jya"
SONY SELANG,1,2026-03-25 10:51:21,gue udah pakai password yang benar malah gak bisa bisa
Wibu Araara,1,2026-03-25 09:42:49,gua log in username sama password nya udah bener invalid mulu
BillbbeSS,5,2026-03-25 08:45:57,bgus
Firly Firly,1,2026-03-25 08:43:11,bro aku sudah lelah 2 masuk tapi gk jadi email udah nomor hp udang tanggal lahir udah terus apa lagiiiii😭
agoes Hartoyo,5,2026-03-25 08:27:33,man man man mantap
Dany,1,2026-03-25 08:20:34,saya ingin login tapi mungking sistem sedang error atau gimana saya Ega tau saya merasa seperti di persulit oleh sistem
fauzia ramadhani,1,2026-03-25 08:06:56,aku kasi bintang satu dulu yaa soalnya akun ku belum bisa ke verifikasi
Zacky,5,2026-03-25 07:53:40,baguss 👍👍👍
Smartphone Global,5,2026-03-25 05:14:08,no komen bagus banget
Bobby Marshall,5,2026-03-25 03:18:45,cukup baik
Alwifawzi25,1,2026-03-25 00:27:22,aku tadi udah kasih masuk sandi ku yang bener ama akun ku tapi tetap gak bisa tolong di perbaiki
Mama Jetun,1,2026-03-24 23:12:19,"I'm disappointed with Discord. I've tried several times to log in or create another account, but I can't. Please fix this bug."
Arby Hamizan,5,2026-03-24 22:43:34,males isi
iim iim,3,2026-03-24 21:45:32,"Setiap saya pengen ngirim chat, entah kenapa chat nya selalu kena timpa. Pdhl kalo soal spam kaga pernah. Benerin ya 🙏"
Muhammad Ayyun,1,2026-03-24 17:51:41,"jangan di donlod ini aplikasi penipuan, ini aplikasi untuk membantu orang ngehack yg mendownload aplikasi ini,.!!"
Mulyono Kimung,5,2026-03-24 17:41:24,sangat bagus
Cherryls De Moonie,1,2026-03-24 17:07:55,"suara sering ilang tiap keluar dari dc, padahal sebelumnya ga pernah kaya gini."
putra pandu,1,2026-03-24 14:58:32,"saya sangat kecewa dengan discord yang sekarang padahal dulu discord itu masih baik dipakai dan tidak ada kendala tetapi sekarang apa? saya membuat akun discord/dc dan setelah itu memverifikasi email dan setelah itu selesai saya mengalami kendala yang sangat menganggu disaat saya ingin menambahkan nomer telepon saya, dan saat ingin memasukan code 6digit tetapi tidak terkirim code 6 digiit tersebut dan dimana membuat saya sangat kesal dan mohon bantuannya agar code 6digit saya segera terkirim"
Albinur,1,2026-03-24 14:37:34,"gak ngirim apa apa, gak spam apa-apa. tiba tiba di banned 2tahun, tanpa penjelasan , tanpa bukti yang mereka lampirkan. semakin canggih teknologi AI, semakin sengklek pengawasan nya. main owo doang kena banned. app Aneh"
Muhammad ridho,2,2026-03-24 14:27:12,"I'm really sorry if it hurts your feelings, because after logging in using my cellphone number, why can't I add you to Discord? I pressed recend but it didn't work. Come on, fix Discord."
Nazril Kurniawan,5,2026-03-24 12:19:52,bagus
farel armandsya,1,2026-03-24 11:15:38,selalu kena limit 30 menit tanpa sebab semakin lama. apk ini gajelas
Muhammad Andaru Narendra,5,2026-03-24 11:06:08,bagus buwanget kecuali iklan nitro🗿
Saka,5,2026-03-24 09:36:28,keren bagus baik hebat
Anindya Liana,5,2026-03-24 08:01:39,GILA INI APK BAGUS BANGET I LIKE IT TY DISCORD
own Indraa,5,2026-03-24 06:06:44,untuk mabar
Mas Hayan,1,2026-03-24 04:35:53,ini sengaja aku agar tidak masuk karena discord hanya bisa bingung saja masalah email dan username dan registrasi dan semua privacy nya sangat buruk hanya bingung saja. ini mungkin membantu mu dalam masalah pendaftaran akun
Kuroshi tsuji,5,2026-03-24 04:14:36,amazing
Kanaya Janaki,2,2026-03-24 03:51:46,jujur bagus tapi saya tidak bisa masuk🙏tolong bagaimana cara masuk nya udah masukin email/nomor telp masih gabisa 🙏 tolong semoga dibaca developer oh iya saya tidak bisa berbahasa Inggris tolong gantikan jadi bahasa Indonesia plis developer 🙏🙏😭
Shika Nur,1,2026-03-24 02:43:48,"aplikasi nya jelek, susah untuk login"
Kota Jakarta,1,2026-03-24 01:23:12,kesel banget masa email udah bener sama sandi udah bener masa gak bisa login
Muhamad abdul Rozak alamsyah,4,2026-03-23 21:04:08,Adain terjemahan bahasa Indonesia
KEGAN GHIYAS,1,2026-03-23 19:25:59,tolong nomor telepon WhatsApp ga bisa kode eror sama email Batasin umum perbaiki
Putra Maulana,5,2026-03-23 18:29:10,noooo katanya discord mau diban😭😭😭
Muhammad Iqbal Muhammad Iqbal,4,2026-03-23 17:04:32,bagus sih bisa berkomunikasi dengan orang luar negri dan masuk komunitas namun tidak bisa dapat akses sepenuhnya seperti stiker edit profil dll itu harus berbayar yaa tidak apa apalah bagi yang menggunakan hanya untuk berkomunikasi saja dan berteman tapi saya harap di-update yang akan datang setidaknya berikan satu paket stiker gratis kepada orang yang baru masuk dan untuk penggunaan tanda baca yang melambangkan ekspresi seperti :) atau:v tolong diberikan pilihan auto stiker atau tetap
tri wahyono,5,2026-03-23 15:36:01,"Aku suka dc an, seruu! walaupun ini akun cadanganku, tapi aku sukaaa"
Redot Redot,1,2026-03-23 12:18:25,apk ga jelas mau masuk tapi ga bisa
yusuf solikin,5,2026-03-23 11:54:21,tidak bisa bahasa Indonesia
R4F Anom 487,5,2026-03-23 11:49:13,Calling tanpa nomor Handphone....? Itu sih poin utama dan paling besar menurut gw.
kuro shiro,1,2026-03-23 11:40:21,"mau bikin akun aja susah amat pakai konfirmasi bot, kalo sekali mah gapapa, ini kok berkali-kali, 5 kali loh konfirmasi saya bukan robot tetep gak bisa, ngebug nih aplikasi"
afiolitapp prasetya,3,2026-03-23 11:12:47,pas saya mau coba masuk grup tiba-tiba malah verifikasi perasaan aku bukan login/robot cik jadi makanya aku ngasih 3 bintang :/
M zulilmi Fahlevi,5,2026-03-23 07:40:20,"kalian yg gbs login pada knp, padahal gw bisa² aja tuh. malahan akun sempat hilang eh akhirnya ketemu gara gara di bantu tim discord nya"
Javinka Rayshiva,4,2026-03-23 06:59:07,"bagus sih, tapi kenapa pas aku join discord streamer itu ngelag/ke cancel terus"
Nadhif Usman,5,2026-03-23 06:42:31,mantap
Mrayhan Saputra,5,2026-03-23 04:28:13,bagus banget
Budi Raharjo,1,2026-03-23 04:10:24,aplikasi jelekkkkk. masa gw mau registar dan mau verifikasi nomor HP habis itu nomornya gk ada padahal nomor hpnya benerrrr. saya sudah hapus aplikasi ini lalu download lagi sama aje. jellleekkkkkkkk buriikkkkkkkkk
Azka Naufal,5,2026-03-23 03:45:23,mantap
Makmur,5,2026-03-23 03:08:59,amazing
Boomer Ghost,5,2026-03-23 01:45:25,nice
Andika,5,2026-03-23 01:22:06,akhirnya berhasil juga sekian lama sampai 1 jam aku nunggunya soalnya itu loadingnya lama bgt tapi gak papa yg penting berhasil🥹🥹🥹kecuali kalau terjadi lagi ulang dari awal😭😭😭 terimakasih ya bg/kak discord. oh ya tadi aku pake hapus cache sama di perbarui discordnya akhirnya bisa juga 🥹 tapi lama bgt nunggunya sampai 1 jam. kalau terjadi lagi dari ulang dari awal aku akan rating 1 lagi 😤😤😤
I nyoman Adiarta,5,2026-03-22 23:14:02,"bisa kah aplikasi ini isi translite , aku susah berkomunikasi dari segala negara"
Ashar Zarr,5,2026-03-22 20:57:30,good
Gede Seneng,1,2026-03-22 19:40:04,kebanyakan aturan yang menyusahkan pengguna
IRfan 1025,1,2026-03-22 17:59:45,kaya anj
arjun musi,1,2026-03-22 16:38:58,tak ada bahasa Indonesia ya di hp
Apa aja Terserah,1,2026-03-22 16:32:11,saya dan teman teman saya kemungkinan 80+ orang yang ku temui sama kasusnya yaitu adalah BUG delay kirim pesan beberapakali gagal padahal jaringan bagus bagus aja setelah ku periksa ping bagus tetapi delay nya sangat menggangu teruntuk saya user mobile tolong diperbaiki BUG delay dll demi kenyamanan orang orang yang bermain discord saya sudah 2 Minggu lebih mengalami hall ini dan teman teman saya juga mengalami hal yang sama terhadap delay BUG dan terkadang gak bisa di pencet sama sekali tolong!
Rio Junior,1,2026-03-22 16:21:23,tolong bug di perbaiki terimakasih
Afkar Syabban,4,2026-03-22 16:19:55,lumayan seru sih tapi ada kekurangan sama kelebihan kelebihannya ini bisa Yari teman atau sahabat tapi kekurangannya itu suka ngeleg di hp atau PC/Laptop
reyz bot,1,2026-03-22 13:19:43,bug nya benerin developer
Saskiapermata,1,2026-03-22 12:50:05,karena tiap hari buat call an sm dia skrg udah asing
Karaoke version,5,2026-03-22 12:42:57,Password salah lagi
Ningg Ninggg,1,2026-03-22 12:25:28,susah kali login tolong perbaiki y
Vincoo,1,2026-03-22 11:40:46,"banyak bug, apalagi pas sinyal jelek, GK bisa load pesan masuk, sering banget gitu,"
Rahmd Azzm,1,2026-03-22 10:21:05,apk konftol et dh bnyk bener bug
Febri Anto,5,2026-03-22 07:46:33,oke
Ghani leornardi,1,2026-03-22 03:38:01,aku asik ditanya untuk verifikasi meskipun dh verifikasi ditanya lagi dan kodenya GK jelas cari taunya dimana sih dh cek gmail
James .A,1,2026-03-22 03:24:28,gabisa verify phone
Rere Gntng,3,2026-03-21 16:27:04,lag bngt masa?
Miftah Farid,1,2026-03-21 13:55:04,Nge ntiiiiiid bug mulu suara ilang
Night Bedrock,1,2026-03-21 13:04:21,"Trash, Too Much Bug, Even New App That Was Released 1 weeks old still better than this one"
Cici Tesa,5,2026-03-21 12:49:08,Cocok untuk komunitas dan ngobrol bareng teman. Fitur voice chat dan server-nya sangat lengkap.
ardianzzz themeling,1,2026-03-21 05:09:32,bagus bgt apknya (ytta(
Raf Raf,3,2026-03-21 04:15:43,agak boros ya ini apk klo makek kouta tapi okelah
Ketut Novi,5,2026-03-21 03:45:38,iii bagus bangett
natan,2,2026-03-20 23:53:54,"kepada developer yang terhormat, disini saya ingin mengajukan keluhan, tentang kurangnya pilihan bahasa, dan mode terjemah (translate), saya di sini ingin menyampaikan saran kepada developer agar menambahkan bahasa Indonesia, dan mode terjemah (translate) agar bisa memudahkan para penggunanya saat berkomunikasi dalam bahasa yang berbeda, ok cukup sekian dari saya, jika ada salah kata atau lain sebagainya mohon dimaafkan, sekian terimakasih."
James Willem,1,2026-03-20 18:54:46,tidak bisa login atau daftar akun baru
Feno Oksan,1,2026-03-20 16:06:21,jelek
Hasan Bisri,1,2026-03-20 10:03:11,saya sudah masukin no telpon dan email berkali² tapi masih dibilang salah saya mau coba lagi malah bilang udah di bikin akun pake email sama no telpon yang sama kaya saya saya harus pake apa loginnya hah? pake telur dinosaurus baru diperbolehkan 😤
ririn,5,2026-03-20 09:38:57,bagus bgt
Mariska Ndruru,5,2026-03-20 07:24:30,baguss 💕
