score,at,content_stemmed
2,2026-03-30 15:49:21,sistem login ribet suka error suka error sih emg error pas login email bener password bener invalid tutorial login ribet dalem nya bagus login nya ribet nyusahin doang ngerasain nggak udh kode verifikasi nya nunggu jam ku akun log out hilang mimpi buruk sampe hilang ya ges stay safe emg nya error plus ribet buanget
4,2026-03-30 15:45:36,tambah teman
2,2026-03-30 15:06:59,bikin histori server join join
1,2026-03-30 14:36:01,ayo tambahin fitur bikin nama email nya ng ush invalid bilang nyuru org biar bikin padahall susah ayo bikin akun email nya
1,2026-03-30 14:15:19,bug mulu aneh gw masuk
5,2026-03-30 13:43:52,tolong mudah password
1,2026-03-30 13:19:18,hei pas verif phone ngk kasih kode
5,2026-03-30 08:01:55,mudah
1,2026-03-30 04:20:45,bug mulu monyet
1,2026-03-29 22:04:54,susah bet log in nya jing
1,2026-03-29 17:20:15,bug terussss tt kesel
5,2026-03-29 12:33:09,bagus work it banget main naruto main game ya
5,2026-03-29 12:19:20,bareng ayah
5,2026-03-29 12:18:29,grup nya bagus gua kasih bintang
2,2026-03-29 11:48:32,tolong tambah hapus pesan dm ancam privasi akun handphone nya sharing cakap sensitive tolong fitur hapus dm guna bot
1,2026-03-29 06:42:04,ni napa dah gua resend gmail tolong baik gua akun gua masuk server grup pas gua udah masuk hilang server satu loh gua ulang ulang masuk server suruh resend udah akun invalid email nya kaya gitu girilan gua change email emang email gua kaya gitu change email lu apas
1,2026-03-29 05:10:41,udah jam cuman masuk doang susah lupa password kirim kode gitu
1,2026-03-29 04:44:23,gila ya dah masuk nya nau zubillahi minzallik ribetnya ketat banget dah kayak bank full gembok
5,2026-03-29 03:03:01,apk bagus gendaan
5,2026-03-29 01:52:52,cocok nongkrong ngobrol kumpul rame rame nyari teman asik banget harga netronya rang
3,2026-03-28 22:07:55,tambah fitur foto lihat
1,2026-03-28 15:23:08,update baru susah login
1,2026-03-28 13:09:35,apk gajelas gw udh kali kali verifikasi pke email tetep bilng sandi salah muluu
1,2026-03-28 12:57:03,login teks muncul invalid kau lupa teks nya
2,2026-03-28 12:03:13,pas log in bug ya cerita gin udah tengah log in pas masukin pasword ngulang tampil udah kali kali coba udah liat tutorial kali kali ya tolong baik ya kak bang
1,2026-03-28 06:41:22,bug voice ilang putus masuk loadingnya
4,2026-03-28 06:08:00,tolong baik bug nya vc call
1,2026-03-28 05:17:28,sampah pas ngecall temen ngebug g ngobrol pdhl mas call bug nya tolong baik ya jgn bikin update sampah g guna trs
1,2026-03-28 04:55:48,udah masukin sandi gugel nya udah bener masuk
4,2026-03-28 04:45:19,hmm kmu bhs indo kak
4,2026-03-28 02:28:41,saran bahasa indonesia seru
5,2026-03-28 01:32:49,gw temen
5,2026-03-27 23:41:44,rasional banget bikin server gratis isi batas orang vc batas ngeluarin uang ajak temenlu pakai kikir support dev nya
5,2026-03-27 19:46:53,update gimana
1,2026-03-27 05:17:25,males lagi susah kasih bintang hahaahahahah game jelek
5,2026-03-27 03:23:29,bagus banget ngobrol main bareng masukin akun error papa bagus
4,2026-03-26 21:47:42,bagus mini game main error teman ku normal
4,2026-03-26 03:03:05,playstorenya gabisa instal xbox mabar minecraft jarak dscord anti gabung voice chenel menbagikan server teman
3,2026-03-26 01:52:55,udah ngikutin tunjuk tetep gaada suara pas share screen niat nobar film gaada suara
5,2026-03-25 22:01:28,sangan tarik keren depan tingkat sukses ya
1,2026-03-25 20:50:37,tolong baik anj
1,2026-03-25 20:33:37,mohon tanggap diacor alami bug change audio output nya ganti speaker bug screen
4,2026-03-25 19:49:41,tolong ya eror voice loh sinyal bagus udah ku coba hapus data
2,2026-03-25 19:49:11,bug suara kocak
3,2026-03-25 19:44:21,udh update msh ngebug aplgi wktu join voice dn login uh bug parah udh pncet tombol gbs
1,2026-03-25 19:44:15,bug notifikasi pencet crash bug ganti soundnya speaker phone coba kali kali
1,2026-03-25 19:41:27,bug
3,2026-03-25 19:36:04,baik bug suara hilang hilang
1,2026-03-25 18:37:33,captcha nya henti bikin akun
1,2026-03-25 18:22:32,apk nyah rusak bikin akun bisaa
1,2026-03-25 18:07:07,login udh verifikasi robot tetp login
5,2026-03-25 13:14:35,nyobain
1,2026-03-25 11:26:13,aap si ak daftar pke nomer pkr ggl udah verivikasi human trus pedahal loh ak udah nurutin pas pake nomer masuk code jya
1,2026-03-25 10:51:21,gue udah pakai password
1,2026-03-25 09:42:49,gua log in username password nya udah bener invalid mulu
1,2026-03-25 08:43:11,bro lelah masuk email udah nomor hp udang tanggal lahir udah lagiiiii
1,2026-03-25 08:20:34,login mungking sistem error gimana ega tau sulit sistem
1,2026-03-25 08:06:56,kasi bintang yaa akun ku verifikasi
5,2026-03-25 03:18:45,
1,2026-03-25 00:27:22,udah kasih masuk sandi ku bener ama akun ku tolong baik
3,2026-03-24 21:45:32,ken ngirim chat chat nya kena timpa pdhl spam kaga benerin ya
1,2026-03-24 17:51:41,donlod tipu bantu orang ngehack mendownload
1,2026-03-24 17:07:55,suara ilang dc kaya gin
1,2026-03-24 14:58:32,kecewa pakai kendala akun dc verifikasi email selesai alami kendala menganggu saat nomer telepon pasu code digit kirim code digiit mana kesal mohon bantu code digit kirim
1,2026-03-24 14:37:34,ngirim spam banned jelas bukti lampir canggih teknologi ai sengklek awas nya main owo doang kena banned aneh
1,2026-03-24 11:15:38,kena limit menit apk gajelas
5,2026-03-24 09:36:28,keren bagus hebat
5,2026-03-24 06:06:44,mabar
1,2026-03-24 04:35:53,sengaja masuk bingung email username registrasi privacy nya buruk bingung bantu mu daftar akun
2,2026-03-24 03:51:46,jujur bagus masuk tolong masuk nya udah masukin email nomor telp gabisa tolong moga baca developer oh iya bahasa inggris tolong ganti bahasa indonesia plis developer
1,2026-03-24 02:43:48,nya jelek susah login
1,2026-03-24 01:23:12,kesel banget email udah bener sandi udah bener login
4,2026-03-23 21:04:08,adain terjemah bahasa indonesia
1,2026-03-23 19:25:59,tolong nomor telepon whatsapp kode eror email batasin baik
4,2026-03-23 17:04:32,bagus sih komunikasi orang negri masuk komunitas akses sepenuh stiker edit profil dll bayar yaa apa komunikasi teman harap update paket stiker gratis orang masuk guna tanda baca melambang ekspresi v tolong pilih auto stiker
5,2026-03-23 15:36:01,suka dc an seruu akun cadang sukaaa
1,2026-03-23 12:18:25,apk masuk
5,2026-03-23 11:54:21,bahasa indonesia
5,2026-03-23 11:49:13,calling nomor handphone sih poin utama gw
1,2026-03-23 11:40:21,bikin akun susah pakai konfirmasi bot mah gapapa kali kali kali loh konfirmasi robot tetep ngebug nih
3,2026-03-23 11:12:47,pas coba masuk grup verifikasi asa login robot cik ngasih bintang
5,2026-03-23 07:40:20,gbs login knp gw bisa tuh akun hilang eh ketemu gara gara bantu tim nya
4,2026-03-23 06:59:07,bagus sih pas join streamer ngelag cancel
5,2026-03-23 04:28:13,bagus banget
1,2026-03-23 04:10:24,jelekkkkk gw registar verifikasi nomor hp habis nomor nomor hpnya benerrrr hapus download aje jellleekkkkkkkk buriikkkkkkkkk
5,2026-03-23 01:22:06,hasil sekian jam nunggunya loadingnya banget papa hasil kecuali ulang terimakasih ya bg kak oh ya pake hapus cache baru discordnya banget nunggunya jam ulang rating
5,2026-03-22 23:14:02,kah isi translite susah komunikasi negara
1,2026-03-22 19:40:04,banyak atur susah guna
1,2026-03-22 16:38:58,bahasa indonesia ya hp
1,2026-03-22 16:32:11,teman teman orang ku temu kasus bug delay kirim pesan beberapakali gagal jaring bagus bagus ku periksa ping bagus delay nya menggangu untuk user mobile tolong baik bug delay dll nyaman orang orang main minggu alami hall teman teman alami delay bug terkadang pencet tolong
1,2026-03-22 16:21:23,tolong bug baik terimakasih
4,2026-03-22 16:19:55,lumayan seru sih kurang lebih lebih yari teman sahabat kurang suka ngeleg hp pc laptop
1,2026-03-22 13:19:43,bug nya benerin developer
1,2026-03-22 12:50:05,call an sm skrg udah asing
5,2026-03-22 12:42:57,password salah
1,2026-03-22 12:25:28,susah kali login tolong baik y
1,2026-03-22 11:40:46,bug pas sinyal jelek load pesan masuk banget gitu
1,2026-03-22 03:38:01,asik verifikasi dh verifikasi kode cari tau mana sih dh cek gmail
5,2026-03-21 12:49:08,cocok komunitas ngobrol bareng teman fitur voice chat server nya lengkap
1,2026-03-21 05:09:32,bagus banget apknya ytta
3,2026-03-21 04:15:43,boros ya apk makek kouta oke
